
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7B:99:05:00:30:86, 2019-12-18 10:19:40, 2019-12-18 10:19:40, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:AE:FA:CF:09:3F, 2019-12-18 10:15:27, 2019-12-18 10:19:35,  6,  -1, WPA, ,   , -83,        0,        3,   0.  0.  0.  0,   0, , 
B4:CD:27:F5:EC:3F, 2019-12-18 10:15:17, 2019-12-18 10:19:04,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:C7:0E:72, 2019-12-18 10:18:14, 2019-12-18 10:18:14,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:C6:5B:C2, 2019-12-18 10:15:36, 2019-12-18 10:18:15,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
66:0A:DC:F5:05:72, 2019-12-18 10:17:28, 2019-12-18 10:17:28,  6,  -1, OPN, ,   ,   0,        0,        1,   0.  0.  0.  0,   0, , 
7B:99:14:1F:78:8E, 2019-12-18 10:15:32, 2019-12-18 10:15:32,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
7B:99:05:00:D0:BD, 2019-12-18 10:17:42, 2019-12-18 10:17:42, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
06:94:6B:26:98:86, 2019-12-18 10:17:53, 2019-12-18 10:18:07,  6,  54, WPA2, CCMP, PSK, -83,       34,        1,   0.  0.  0.  0,   8, Partage , 
FC:5B:39:C6:5B:C0, 2019-12-18 10:15:22, 2019-12-18 10:18:21,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:3C:10:7B:15:0D, 2019-12-18 10:18:10, 2019-12-18 10:18:55,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FF:FF:F8:C3:9E:41, 2019-12-18 10:17:07, 2019-12-18 10:19:32, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
6A:36:E5:2E:FA:B6, 2019-12-18 10:15:16, 2019-12-18 10:19:46,  6,  54, WPA2, CCMP, PSK, -85,       20,        0,   0.  0.  0.  0,  16, Iphone de Mounir, 
A2:3C:AF:5F:14:B7, 2019-12-18 10:15:56, 2019-12-18 10:19:42,  6,  54, WPA2, CCMP, PSK, -85,        0,        0,   0.  0.  0.  0,  17, iPhone de Sabrina, 
00:2C:C8:8B:E2:E0, 2019-12-18 10:15:24, 2019-12-18 10:20:00,  6,  54, OPN, ,   , -85,       20,        6,  10. 42. 17.164,   7, eduspot, 
00:2C:C8:8B:E2:E1, 2019-12-18 10:17:28, 2019-12-18 10:19:57,  6,  54, WPA2, CCMP, MGT, -84,       13,        0,   0.  0.  0.  0,   9, personnel, 
00:2C:C8:8B:E2:E2, 2019-12-18 10:15:15, 2019-12-18 10:19:59,  6,  54, WPA2, CCMP, MGT, -84,       19,       36,   0.  0.  0.  0,   7, eduroam, 
00:2C:C8:8B:E2:E3, 2019-12-18 10:15:22, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, MGT, -84,       12,        0,   0.  0.  0.  0,   4, toip, 
00:2C:C8:8B:E2:E4, 2019-12-18 10:17:34, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -82,       16,        0,   0.  0.  0.  0,  10, Conference, 
14:1F:78:8E:3E:1C, 2019-12-18 10:15:01, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -82,      624,     2859,   0.  0.  0.  0,  14, PourToiJohnson, 
38:47:BC:8D:F8:64, 2019-12-18 10:15:13, 2019-12-18 10:19:56,  6,  54, WPA2, CCMP, PSK, -82,        0,        0,   0.  0.  0.  0,  15, HUAWEI P30 lite, 
FC:3F:7C:F1:62:50, 2019-12-18 10:15:01, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -79,      538,       19,   0.  0.  0.  0,  20, HUAWEI_honor 5C_3DDF, 
AA:34:6A:E9:9C:68, 2019-12-18 10:15:01, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -78,     1393,      691,   0.  0.  0.  0,   7, Lurtz59, 
66:77:65:4D:05:CB, 2019-12-18 10:15:03, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -78,      402,      134,   0.  0.  0.  0,  12, , 
32:07:4D:95:53:D4, 2019-12-18 10:15:01, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -77,      437,       16,   0.  0.  0.  0,  30, dis "mamene" jte passe le code, 
70:8A:09:75:66:0A, 2019-12-18 10:15:01, 2019-12-18 10:20:01,  6,  54, WPA2, CCMP, PSK, -72,     1667,     1331,   0.  0.  0.  0,  13, HUAWEI Mate 9, 
6E:C7:EC:18:33:53, 2019-12-18 10:15:01, 2019-12-18 10:20:01,  6,  54, WPA2, CCMP, PSK, -71,     1582,      272,   0.  0.  0.  0,  13, AndroidAP7080, 
D6:8C:CD:A8:A7:53, 2019-12-18 10:15:01, 2019-12-18 10:20:01,  6,  54, WPA2, CCMP, PSK, -64,      754,       13,   0.  0.  0.  0,  26, iPhone de Morgane Lheureux, 
8E:42:95:20:32:2E, 2019-12-18 10:15:02, 2019-12-18 10:20:00,  6,  54, WPA2, CCMP, PSK, -67,      676,      176,   0.  0.  0.  0,  18, , 
5E:EA:72:77:98:16, 2019-12-18 10:18:33, 2019-12-18 10:20:01,  6,  54, WPA2, CCMP, PSK, -66,      164,      216,   0.  0.  0.  0,  15, iphone de sami , 
EA:67:5C:61:74:2B, 2019-12-18 10:18:45, 2019-12-18 10:19:59,  6,  54, WPA2, CCMP, PSK, -63,      101,      160,   0.  0.  0.  0,  17, , 
04:B1:67:AD:FA:02, 2019-12-18 10:15:01, 2019-12-18 10:20:01,  6,  54, WPA2, CCMP, PSK, -61,     2849,     2867,   0.  0.  0.  0,   5, Samad, 
70:DD:A8:01:41:21, 2019-12-18 10:15:01, 2019-12-18 10:20:01,  8, 360, WPA2, CCMP, PSK, -59,     1376,      139,   0.  0.  0.  0,   5, Maleo, 
F8:C3:9E:41:2A:D2, 2019-12-18 10:15:01, 2019-12-18 10:20:01,  6,  54, WPA2, CCMP, PSK, -39,     2911,        0,   0.  0.  0.  0,  14, HUAWEI P20 Pro, 
B6:80:C2:7B:F0:18, 2019-12-18 10:15:03, 2019-12-18 10:19:59,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7B:99:05:00:80:AC, 2019-12-18 10:19:43, 2019-12-18 10:19:43, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:3C:10:7B:15:00, 2019-12-18 10:19:44, 2019-12-18 10:19:44,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
A7:53:D6:8C:CD:A8, 2019-12-18 10:19:47, 2019-12-18 10:19:47, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2019-12-18 10:19:49, 2019-12-18 10:19:59,  6,  -1, OPN, ,   ,  -1,        0,        7,   0.  0.  0.  0,   0, , 
1B:E1:6E:C7:EC:18, 2019-12-18 10:19:55, 2019-12-18 10:19:55, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
28:B2:BD:47:10:AD, 2019-12-18 10:18:58, 2019-12-18 10:18:58,  -1,        4, 00:2C:C8:8B:E2:E2,
42:F2:17:46:C6:93, 2019-12-18 10:18:57, 2019-12-18 10:18:57, -59,        5, (not associated) ,Bougharraf
76:AC:7A:53:B9:A8, 2019-12-18 10:18:56, 2019-12-18 10:18:56, -61,        2, (not associated) ,Bougharraf
8C:85:90:80:35:CA, 2019-12-18 10:15:02, 2019-12-18 10:20:01, -68,       19, (not associated) ,
72:A5:33:A0:A7:D7, 2019-12-18 10:18:56, 2019-12-18 10:18:56, -72,        1, (not associated) ,
FE:D9:4C:0E:59:78, 2019-12-18 10:18:55, 2019-12-18 10:18:55, -73,        2, (not associated) ,
B6:05:AA:20:5F:FB, 2019-12-18 10:19:00, 2019-12-18 10:19:00, -74,        4, (not associated) ,
9E:9D:FC:71:A6:C8, 2019-12-18 10:18:56, 2019-12-18 10:18:56, -77,        1, (not associated) ,
38:F9:D3:29:8C:09, 2019-12-18 10:15:06, 2019-12-18 10:18:55, -79,        7, 00:3C:10:7B:15:0D,eduroam
40:E2:30:68:A3:73, 2019-12-18 10:15:54, 2019-12-18 10:18:57, -85,        6, (not associated) ,
B8:27:EB:12:EC:25, 2019-12-18 10:18:48, 2019-12-18 10:18:48, -21,        9, (not associated) , P8 dud
8A:CC:CA:2F:96:FA, 2019-12-18 10:18:45, 2019-12-18 10:18:45, -59,        2, (not associated) ,
1A:B6:E0:0A:63:DF, 2019-12-18 10:18:45, 2019-12-18 10:18:45, -65,        3, (not associated) ,Bougharraf
B8:7B:C5:47:13:AF, 2019-12-18 10:16:32, 2019-12-18 10:18:48, -71,       23, (not associated) ,eduroam
EA:E4:68:AA:B6:BD, 2019-12-18 10:18:47, 2019-12-18 10:18:47, -74,        2, (not associated) ,
26:07:65:A8:7D:AC, 2019-12-18 10:18:44, 2019-12-18 10:18:44, -79,        5, (not associated) ,
D4:6D:6D:AD:28:34, 2019-12-18 10:17:31, 2019-12-18 10:18:45, -83,        2, A2:3C:AF:5F:14:B7,
16:E2:F4:45:E5:E2, 2019-12-18 10:18:34, 2019-12-18 10:18:34, -62,        5, (not associated) ,
86:A7:34:7A:0E:8A, 2019-12-18 10:18:31, 2019-12-18 10:18:31, -67,        2, (not associated) ,
76:DB:5E:11:AB:DF, 2019-12-18 10:16:05, 2019-12-18 10:18:31, -72,        3, (not associated) ,
C6:A8:9A:60:05:4E, 2019-12-18 10:18:24, 2019-12-18 10:18:24, -59,        6, (not associated) ,Bougharraf
4E:6E:EB:21:A1:F0, 2019-12-18 10:18:24, 2019-12-18 10:18:24, -59,        3, (not associated) ,Bougharraf
EE:0D:AC:4D:D1:89, 2019-12-18 10:18:22, 2019-12-18 10:18:23, -65,        6, (not associated) ,
96:C3:0D:8B:9D:40, 2019-12-18 10:18:19, 2019-12-18 10:18:19, -66,        8, (not associated) ,Bougharraf
8C:86:1E:C3:AC:18, 2019-12-18 10:15:35, 2019-12-18 10:18:22, -68,        9, (not associated) ,
52:6C:A8:62:59:2B, 2019-12-18 10:18:20, 2019-12-18 10:18:20, -80,        1, (not associated) ,
EA:DA:E9:ED:B5:F7, 2019-12-18 10:18:11, 2019-12-18 10:18:11, -60,        4, (not associated) ,Bougharraf
1A:85:3B:76:4C:90, 2019-12-18 10:18:07, 2019-12-18 10:18:08, -63,        4, (not associated) ,
D6:2B:38:E9:F4:41, 2019-12-18 10:18:09, 2019-12-18 10:18:10, -69,        4, (not associated) ,
6E:D8:C1:B9:FA:6E, 2019-12-18 10:18:11, 2019-12-18 10:18:11, -73,        5, (not associated) ,Bougharraf
28:C2:DD:85:E4:B5, 2019-12-18 10:16:48, 2019-12-18 10:18:07, -79,        5, (not associated) ,ASUS_X00RD
E6:F4:39:1E:69:0D, 2019-12-18 10:18:00, 2019-12-18 10:18:00, -63,        4, (not associated) ,
06:07:22:9F:49:DD, 2019-12-18 10:17:56, 2019-12-18 10:17:56, -64,        4, (not associated) ,
CE:7C:E4:5B:A9:5A, 2019-12-18 10:17:55, 2019-12-18 10:17:55, -80,        1, (not associated) ,
4A:C2:C4:E1:C6:BA, 2019-12-18 10:17:48, 2019-12-18 10:17:48, -65,        4, (not associated) ,Bougharraf
EE:28:03:7A:9D:C6, 2019-12-18 10:17:45, 2019-12-18 10:17:45, -76,        6, (not associated) ,
8A:59:AA:4D:13:AD, 2019-12-18 10:17:33, 2019-12-18 10:17:33, -65,        6, (not associated) ,Bougharraf
06:D1:A9:62:F1:A3, 2019-12-18 10:17:33, 2019-12-18 10:17:33, -71,        4, (not associated) ,Bougharraf
66:1D:FF:A2:A2:2F, 2019-12-18 10:17:31, 2019-12-18 10:17:31, -78,        2, (not associated) ,
B2:96:23:3E:03:98, 2019-12-18 10:17:24, 2019-12-18 10:17:24, -62,        3, (not associated) ,Bougharraf
02:87:55:98:F0:E0, 2019-12-18 10:17:23, 2019-12-18 10:17:23, -68,        3, (not associated) ,
2E:1E:53:49:22:6A, 2019-12-18 10:17:22, 2019-12-18 10:17:22, -68,        4, (not associated) ,
AE:44:35:FC:4A:B0, 2019-12-18 10:17:23, 2019-12-18 10:17:23, -70,        4, (not associated) ,Bougharraf
16:A6:0D:25:4F:2B, 2019-12-18 10:17:09, 2019-12-18 10:17:09, -61,        2, (not associated) ,
E6:91:12:B4:51:F0, 2019-12-18 10:17:11, 2019-12-18 10:17:11, -70,        4, (not associated) ,
16:6B:B5:A9:50:21, 2019-12-18 10:17:07, 2019-12-18 10:17:07, -71,        6, (not associated) ,
AE:9D:82:4F:96:FE, 2019-12-18 10:17:10, 2019-12-18 10:17:10, -74,        7, (not associated) ,
0E:71:EB:E5:30:1C, 2019-12-18 10:17:11, 2019-12-18 10:17:11, -77,        2, (not associated) ,
00:E1:8C:88:0E:55, 2019-12-18 10:17:10, 2019-12-18 10:17:11, -78,        4, (not associated) ,eduroam
C6:07:E3:E0:D0:BA, 2019-12-18 10:17:12, 2019-12-18 10:17:12, -82,        1, (not associated) ,
16:1F:C4:18:A5:5E, 2019-12-18 10:16:59, 2019-12-18 10:16:59, -63,        3, (not associated) ,Bougharraf
4A:9B:FD:73:3D:A7, 2019-12-18 10:16:55, 2019-12-18 10:16:56, -70,        8, (not associated) ,
4A:F4:6B:8B:89:B0, 2019-12-18 10:16:55, 2019-12-18 10:16:55, -71,        5, (not associated) ,
EA:A0:34:48:40:2A, 2019-12-18 10:16:59, 2019-12-18 10:17:00, -73,       11, (not associated) ,Bougharraf
E6:39:AF:31:41:F9, 2019-12-18 10:16:48, 2019-12-18 10:16:48, -63,        7, (not associated) ,Bougharraf
DA:8F:EC:C1:E0:75, 2019-12-18 10:16:48, 2019-12-18 10:16:48, -64,        3, (not associated) ,Bougharraf
92:D5:FC:F6:67:D6, 2019-12-18 10:16:44, 2019-12-18 10:16:44, -68,        6, (not associated) ,
D2:B5:35:C7:72:83, 2019-12-18 10:16:44, 2019-12-18 10:16:45, -72,        3, (not associated) ,
3E:23:D7:8F:27:80, 2019-12-18 10:16:45, 2019-12-18 10:16:45, -77,        2, (not associated) ,
22:D0:BF:E5:76:92, 2019-12-18 10:16:36, 2019-12-18 10:16:36, -60,        4, (not associated) ,Bougharraf
80:B0:3D:B7:1E:0A, 2019-12-18 10:16:31, 2019-12-18 10:16:33, -67,        8, (not associated) ,eduroam
92:4A:B5:07:B3:7E, 2019-12-18 10:16:33, 2019-12-18 10:16:33, -71,        4, (not associated) ,
