
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A0:3D:6F:3D:AB:A2, 2019-12-18 10:34:11, 2019-12-18 10:34:11,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
38:47:BC:8D:F8:64, 2019-12-18 10:30:15, 2019-12-18 10:33:04,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,  15, HUAWEI P30 lite, 
00:00:00:00:00:00, 2019-12-18 10:32:26, 2019-12-18 10:32:26, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D6:8C:CD:A8:A7:53, 2019-12-18 10:30:01, 2019-12-18 10:32:26,  6,  54, WPA2, CCMP, PSK, -72,      236,       48,   0.  0.  0.  0,  26, iPhone de Morgane Lheureux, 
00:AE:FA:CF:09:3F, 2019-12-18 10:30:11, 2019-12-18 10:32:03,  6,  54, WPA2, CCMP, PSK, -86,        0,        1,   0.  0.  0.  0,  13, Slinth's Wifi, 
56:19:29:52:C0:50, 2019-12-18 10:30:18, 2019-12-18 10:30:18, 11, 360, WPA2, CCMP, PSK, -71,        0,        0,   0.  0.  0.  0,  10, Pixel_1135, 
FF:FA:00:2C:C8:8B, 2019-12-18 10:30:44, 2019-12-18 10:30:44, -1,  -1, , ,   , -81,        0,        0,   0.  0.  0.  0,   0, , 
00:00:FF:FF:FF:FF, 2019-12-18 10:31:09, 2019-12-18 10:31:09, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D9:8F:AA:34:6A:E9, 2019-12-18 10:32:29, 2019-12-18 10:32:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:02:AA:34:6A:E9, 2019-12-18 10:32:29, 2019-12-18 10:32:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:16:AA:34:6A:E9, 2019-12-18 10:32:29, 2019-12-18 10:32:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:FB:AA:34:6A:E9, 2019-12-18 10:32:45, 2019-12-18 10:32:45, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
70:8A:09:75:66:0A, 2019-12-18 10:30:01, 2019-12-18 10:32:58,  6,  54, WPA2, CCMP, PSK, -82,      637,       36,   0.  0.  0.  0,  13, HUAWEI Mate 9, 
FC:5B:39:C6:5B:C2, 2019-12-18 10:30:36, 2019-12-18 10:32:57,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:C6:5B:C0, 2019-12-18 10:33:21, 2019-12-18 10:33:21,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
5E:EA:72:77:98:16, 2019-12-18 10:30:02, 2019-12-18 10:33:57,  6,  54, WPA2, CCMP, PSK, -64,      316,       13,   0.  0.  0.  0,  15, iphone de sami , 
62:F1:89:9D:18:3B, 2019-12-18 10:30:42, 2019-12-18 10:34:21, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:2C:C8:8B:E2:E2, 2019-12-18 10:30:02, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, MGT, -87,       35,      152,   0.  0.  0.  0,   7, eduroam, 
00:2C:C8:8B:E2:E0, 2019-12-18 10:30:01, 2019-12-18 10:34:59,  6,  54, OPN, ,   , -87,       50,       13,  10. 42. 17.164,   7, eduspot, 
00:2C:C8:8B:E2:E1, 2019-12-18 10:30:12, 2019-12-18 10:34:58,  6,  54, WPA2, CCMP, MGT, -87,       38,        0,   0.  0.  0.  0,   9, personnel, 
00:2C:C8:8B:E2:E4, 2019-12-18 10:30:11, 2019-12-18 10:35:00,  6,  54, WPA2, CCMP, PSK, -85,       37,        0,   0.  0.  0.  0,  10, Conference, 
00:2C:C8:8B:E2:E3, 2019-12-18 10:30:10, 2019-12-18 10:34:56,  6,  54, WPA2, CCMP, MGT, -85,       41,        0,   0.  0.  0.  0,   4, toip, 
14:1F:78:8E:3E:1C, 2019-12-18 10:30:01, 2019-12-18 10:34:59,  6,  54, WPA2, CCMP, PSK, -84,      246,      737,   0.  0.  0.  0,  14, PourToiJohnson, 
6A:36:E5:2E:FA:B6, 2019-12-18 10:30:20, 2019-12-18 10:34:44,  6,  54, WPA2, CCMP, PSK, -84,       24,        0,   0.  0.  0.  0,  16, Iphone de Mounir, 
FC:3F:7C:F1:62:50, 2019-12-18 10:30:30, 2019-12-18 10:35:00,  6,  54, WPA2, CCMP, PSK, -83,       43,        2,   0.  0.  0.  0,  20, HUAWEI_honor 5C_3DDF, 
3E:C2:F8:02:E2:B1, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -77,      367,     4347,   0.  0.  0.  0,   6, iPhone, 
AA:34:6A:E9:9C:68, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -76,     1352,      349,   0.  0.  0.  0,   7, Lurtz59, 
66:77:65:4D:05:CB, 2019-12-18 10:30:03, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -76,      437,      120,   0.  0.  0.  0,  12, , 
32:07:4D:95:53:D4, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -75,      565,        8,   0.  0.  0.  0,  30, dis "mamene" jte passe le code, 
6E:C7:EC:18:33:53, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -69,     1854,      145,   0.  0.  0.  0,  13, AndroidAP7080, 
04:B1:67:AD:FA:02, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -63,     2595,     8366,   0.  0.  0.  0,   5, Samad, 
8E:42:95:20:32:2E, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -63,      699,      188,   0.  0.  0.  0,  18, , 
F8:C3:9E:41:2A:D2, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  6,  54, WPA2, CCMP, PSK, -58,     1861,        6,   0.  0.  0.  0,  14, HUAWEI P20 Pro, 
70:DD:A8:01:41:21, 2019-12-18 10:30:01, 2019-12-18 10:35:01,  8, 360, WPA2, CCMP, PSK, -44,     1432,      126,   0.  0.  0.  0,   5, Maleo, 
B6:80:C2:7B:F0:18, 2019-12-18 10:30:04, 2019-12-18 10:34:59,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5C:C5:D4:A0:2F:17, 2019-12-18 10:31:55, 2019-12-18 10:34:00, -53,       24, (not associated) ,eduroam
6A:95:A5:79:91:B3, 2019-12-18 10:34:00, 2019-12-18 10:34:00, -57,        4, (not associated) ,Bougharraf
5E:AF:DA:FE:61:6A, 2019-12-18 10:33:56, 2019-12-18 10:33:57, -57,        8, (not associated) ,
5A:6E:EA:3E:23:4E, 2019-12-18 10:34:00, 2019-12-18 10:34:00, -63,        7, (not associated) ,Bougharraf
DE:98:B3:A9:24:FD, 2019-12-18 10:33:59, 2019-12-18 10:33:59, -65,        2, (not associated) ,
8C:86:1E:C3:AC:18, 2019-12-18 10:31:04, 2019-12-18 10:33:58, -67,       17, (not associated) ,
B8:76:3F:FE:5E:C1, 2019-12-18 10:30:02, 2019-12-18 10:33:55, -71,       44, FC:5B:39:C6:5B:C2,eduroam
5C:EA:1D:1D:6C:91, 2019-12-18 10:33:40, 2019-12-18 10:33:59, -72,       30, (not associated) ,HUAWEI P30 lite,eduroam
DA:A1:19:A0:91:21, 2019-12-18 10:33:59, 2019-12-18 10:33:59, -78,        1, (not associated) ,antcoc
92:08:0C:8D:C6:D5, 2019-12-18 10:33:43, 2019-12-18 10:33:43, -53,       16, (not associated) ,Bougharraf
AE:8C:59:40:3D:E2, 2019-12-18 10:33:45, 2019-12-18 10:33:45, -58,        6, (not associated) ,Bougharraf
6A:57:85:EA:AE:8A, 2019-12-18 10:33:45, 2019-12-18 10:33:45, -62,        3, (not associated) ,Bougharraf
E6:C4:76:6E:B9:44, 2019-12-18 10:33:48, 2019-12-18 10:33:48, -67,        1, (not associated) ,
76:D3:98:09:27:5F, 2019-12-18 10:33:46, 2019-12-18 10:33:48, -67,        4, (not associated) ,
9A:32:F4:63:1F:82, 2019-12-18 10:32:20, 2019-12-18 10:33:45, -74,        2, (not associated) ,
1E:7C:F3:BD:2D:9F, 2019-12-18 10:33:32, 2019-12-18 10:33:32, -49,        9, (not associated) ,
02:C4:52:2A:E6:AC, 2019-12-18 10:33:34, 2019-12-18 10:33:34, -53,       16, (not associated) ,Bougharraf
4E:95:D5:FF:6D:C7, 2019-12-18 10:33:33, 2019-12-18 10:33:33, -58,        4, (not associated) ,Bougharraf
9E:35:48:81:9F:42, 2019-12-18 10:33:36, 2019-12-18 10:33:36, -66,        8, (not associated) ,
FA:1A:0F:40:7A:24, 2019-12-18 10:33:21, 2019-12-18 10:33:21, -49,        9, (not associated) ,
9C:DA:3E:76:58:95, 2019-12-18 10:30:19, 2019-12-18 10:33:24, -64,       12, (not associated) ,Localhost
90:78:41:44:B9:CF, 2019-12-18 10:31:03, 2019-12-18 10:33:20, -72,        3, (not associated) ,eduroam
04:D6:AA:F8:7C:C3, 2019-12-18 10:33:01, 2019-12-18 10:33:20, -79,        5, (not associated) ,
A4:50:46:C6:49:74, 2019-12-18 10:33:22, 2019-12-18 10:33:22, -82,        1, (not associated) ,
D6:E4:D7:22:BE:AE, 2019-12-18 10:33:09, 2019-12-18 10:33:09, -44,        4, (not associated) ,Bougharraf
A6:7D:CF:FD:1B:B0, 2019-12-18 10:33:09, 2019-12-18 10:33:10, -49,       15, (not associated) ,Bougharraf
96:04:F7:50:3D:72, 2019-12-18 10:33:12, 2019-12-18 10:33:12, -72,        1, (not associated) ,
B8:27:EB:4C:DB:04, 2019-12-18 10:30:08, 2019-12-18 10:33:08, -77,        6, (not associated) ,
1A:90:8A:07:E5:BC, 2019-12-18 10:32:55, 2019-12-18 10:32:55, -46,        4, (not associated) ,Bougharraf
6E:3F:73:92:AD:DB, 2019-12-18 10:32:54, 2019-12-18 10:32:55, -49,        8, (not associated) ,
1A:92:0A:E1:4B:2A, 2019-12-18 10:32:58, 2019-12-18 10:32:58, -50,        8, (not associated) ,
1A:45:DD:A8:CF:FF, 2019-12-18 10:32:56, 2019-12-18 10:32:56, -50,       12, (not associated) ,Bougharraf
7E:C9:BB:D7:1F:78, 2019-12-18 10:32:59, 2019-12-18 10:32:59, -68,        4, (not associated) ,
FA:CB:F4:9D:82:5A, 2019-12-18 10:32:59, 2019-12-18 10:32:59, -70,        2, (not associated) ,
D0:57:7B:81:4B:8D, 2019-12-18 10:30:02, 2019-12-18 10:32:59, -77,        4, (not associated) ,Yost
34:79:16:6D:EF:2B, 2019-12-18 10:30:15, 2019-12-18 10:32:58, -83,       15, 70:8A:09:75:66:0A,
52:6D:B4:4E:8F:C4, 2019-12-18 10:32:44, 2019-12-18 10:32:44, -43,        2, (not associated) ,Bougharraf
22:A2:0C:15:FA:30, 2019-12-18 10:32:46, 2019-12-18 10:32:46, -45,        4, (not associated) ,Bougharraf
22:CF:89:D8:9F:14, 2019-12-18 10:32:45, 2019-12-18 10:32:45, -49,        9, (not associated) ,
EA:2F:52:B4:55:6A, 2019-12-18 10:32:47, 2019-12-18 10:32:47, -58,       15, (not associated) ,Bougharraf
2A:76:3F:FE:5E:C1, 2019-12-18 10:32:42, 2019-12-18 10:32:46, -59,        7, (not associated) ,
32:C0:21:D5:AB:83, 2019-12-18 10:32:45, 2019-12-18 10:32:45, -68,        2, (not associated) ,
B4:6D:83:6B:B2:37, 2019-12-18 10:32:45, 2019-12-18 10:32:45, -71,        1, (not associated) ,
66:5E:9B:91:4A:82, 2019-12-18 10:32:42, 2019-12-18 10:32:43, -74,        2, (not associated) ,
D2:79:FA:C4:CB:6D, 2019-12-18 10:32:47, 2019-12-18 10:32:48, -76,        3, (not associated) ,
7E:B2:68:E5:71:97, 2019-12-18 10:32:32, 2019-12-18 10:32:32, -53,        9, (not associated) ,
8E:E8:77:B3:8D:6F, 2019-12-18 10:32:36, 2019-12-18 10:32:36, -58,        6, (not associated) ,
E2:32:3C:13:BA:60, 2019-12-18 10:32:32, 2019-12-18 10:32:32, -76,        1, (not associated) ,
D6:B0:9E:91:84:89, 2019-12-18 10:32:33, 2019-12-18 10:32:33, -77,        1, (not associated) ,
96:29:08:BD:C0:6D, 2019-12-18 10:32:35, 2019-12-18 10:32:35, -79,        1, (not associated) ,
BE:57:3C:98:F7:FB, 2019-12-18 10:32:21, 2019-12-18 10:32:21, -49,        9, (not associated) ,
AE:68:8D:F4:A0:47, 2019-12-18 10:30:58, 2019-12-18 10:32:23, -63,        5, (not associated) ,
AE:DB:EA:92:B1:FC, 2019-12-18 10:32:19, 2019-12-18 10:32:20, -70,        3, (not associated) ,
72:CF:7A:4B:42:05, 2019-12-18 10:32:21, 2019-12-18 10:32:21, -71,        2, (not associated) ,
2E:CA:67:FE:DE:35, 2019-12-18 10:32:22, 2019-12-18 10:32:22, -74,        2, (not associated) ,
E2:68:6E:66:A1:6B, 2019-12-18 10:32:22, 2019-12-18 10:32:22, -76,        1, (not associated) ,
A2:F7:25:28:97:C8, 2019-12-18 10:32:23, 2019-12-18 10:32:23, -82,        1, (not associated) ,
32:98:DD:4C:62:52, 2019-12-18 10:32:09, 2019-12-18 10:32:09, -45,        4, (not associated) ,Bougharraf
4A:7B:A9:29:E1:0A, 2019-12-18 10:32:07, 2019-12-18 10:32:07, -45,        4, (not associated) ,Bougharraf
F6:5A:8F:2E:8E:24, 2019-12-18 10:32:09, 2019-12-18 10:32:10, -49,       14, (not associated) ,Bougharraf
56:11:1F:75:19:8A, 2019-12-18 10:32:07, 2019-12-18 10:32:07, -50,       14, (not associated) ,Bougharraf
FC:18:3C:5D:8F:76, 2019-12-18 10:32:09, 2019-12-18 10:32:09, -69,        2, (not associated) ,eduroam
CA:7C:90:69:ED:FC, 2019-12-18 10:32:07, 2019-12-18 10:32:07, -76,        1, (not associated) ,
00:E1:8C:88:0E:55, 2019-12-18 10:32:10, 2019-12-18 10:32:10, -77,        1, (not associated) ,
F0:03:8C:86:AF:47, 2019-12-18 10:30:50, 2019-12-18 10:32:08, -82,        3, (not associated) ,eduroam
EE:57:B6:7E:0D:51, 2019-12-18 10:31:54, 2019-12-18 10:31:55, -49,        8, (not associated) ,
B2:9A:A0:F0:18:9C, 2019-12-18 10:31:58, 2019-12-18 10:31:58, -50,        8, (not associated) ,
8A:58:EE:32:1A:C2, 2019-12-18 10:31:56, 2019-12-18 10:31:56, -65,        5, (not associated) ,
6E:66:55:0B:C0:43, 2019-12-18 10:31:15, 2019-12-18 10:31:59, -70,        4, (not associated) ,
5E:09:F7:55:41:D8, 2019-12-18 10:31:57, 2019-12-18 10:31:57, -76,        2, (not associated) ,
EA:DB:46:33:81:4D, 2019-12-18 10:32:00, 2019-12-18 10:32:00, -77,        1, (not associated) ,
E6:23:F5:86:1B:AD, 2019-12-18 10:31:57, 2019-12-18 10:31:57, -83,        1, (not associated) ,
B8:27:EB:12:EC:25, 2019-12-18 10:31:44, 2019-12-18 10:31:44, -47,        8, (not associated) , P8 dud
1E:43:24:85:8A:7D, 2019-12-18 10:31:43, 2019-12-18 10:31:43, -48,       15, (not associated) ,Bougharraf
06:DD:10:5A:DE:1C, 2019-12-18 10:31:47, 2019-12-18 10:31:47, -51,        8, (not associated) ,
5E:81:FE:4A:B0:37, 2019-12-18 10:31:46, 2019-12-18 10:31:46, -66,        2, (not associated) ,
5E:D1:0E:52:40:81, 2019-12-18 10:31:47, 2019-12-18 10:31:47, -73,        1, (not associated) ,
9E:C0:4A:D2:20:DE, 2019-12-18 10:31:35, 2019-12-18 10:31:35, -44,        4, (not associated) ,Bougharraf
6A:2F:50:C6:5B:10, 2019-12-18 10:31:35, 2019-12-18 10:31:35, -46,       13, (not associated) ,Bougharraf
6A:4D:5F:17:E5:4C, 2019-12-18 10:31:35, 2019-12-18 10:31:35, -47,        1, (not associated) ,
16:0A:4F:6B:60:49, 2019-12-18 10:31:31, 2019-12-18 10:31:32, -48,        9, (not associated) ,
D2:05:E7:50:68:7E, 2019-12-18 10:31:36, 2019-12-18 10:31:36, -73,        2, (not associated) ,
FE:55:A4:62:BB:9E, 2019-12-18 10:31:34, 2019-12-18 10:31:34, -73,        1, (not associated) ,
E2:73:68:9F:2F:C4, 2019-12-18 10:31:24, 2019-12-18 10:31:24, -47,        8, (not associated) ,
0E:39:3A:E9:2C:FC, 2019-12-18 10:31:22, 2019-12-18 10:31:22, -47,       14, (not associated) ,Bougharraf
CE:7C:F1:11:86:63, 2019-12-18 10:31:21, 2019-12-18 10:31:21, -47,        4, (not associated) ,Bougharraf
82:03:BC:4F:E6:11, 2019-12-18 10:31:20, 2019-12-18 10:31:21, -48,       10, (not associated) ,
FA:BF:90:EC:EF:8B, 2019-12-18 10:31:20, 2019-12-18 10:31:20, -62,        1, (not associated) ,
86:99:99:76:64:23, 2019-12-18 10:31:21, 2019-12-18 10:31:21, -69,        3, (not associated) ,
56:4F:0E:20:D3:03, 2019-12-18 10:31:24, 2019-12-18 10:31:24, -76,        2, (not associated) ,
C4:8E:8F:4F:D9:6D, 2019-12-18 10:31:19, 2019-12-18 10:31:19, -76,        2, (not associated) ,eduroam
D2:D8:40:1C:0E:F9, 2019-12-18 10:31:08, 2019-12-18 10:31:08, -49,        4, (not associated) ,Bougharraf
82:64:91:52:00:80, 2019-12-18 10:31:09, 2019-12-18 10:31:09, -62,       15, (not associated) ,Bougharraf
2A:2E:86:22:75:3D, 2019-12-18 10:31:11, 2019-12-18 10:31:11, -67,        2, (not associated) ,
AC:ED:5C:30:07:23, 2019-12-18 10:30:11, 2019-12-18 10:31:08, -67,       85, 70:8A:09:75:66:0A,HUAWEI Mate 9
3C:95:09:E3:2A:07, 2019-12-18 10:30:10, 2019-12-18 10:31:10, -68,       19, (not associated) ,
02:5D:B6:72:1A:8E, 2019-12-18 10:31:12, 2019-12-18 10:31:12, -70,        2, (not associated) ,
02:C4:1E:2F:E4:95, 2019-12-18 10:31:11, 2019-12-18 10:31:11, -72,        1, (not associated) ,
BC:54:51:68:F4:D4, 2019-12-18 10:30:38, 2019-12-18 10:31:07, -75,       18, (not associated) ,Yost
0E:82:77:26:10:0B, 2019-12-18 10:31:12, 2019-12-18 10:31:12, -76,        1, (not associated) ,
AC:D1:B8:2D:B7:BD, 2019-12-18 10:30:18, 2019-12-18 10:31:10, -82,        4, 14:1F:78:8E:3E:1C,
22:5D:17:79:C1:48, 2019-12-18 10:30:57, 2019-12-18 10:30:58, -54,        7, (not associated) ,
D6:54:4F:73:81:D0, 2019-12-18 10:30:55, 2019-12-18 10:30:55, -55,        6, (not associated) ,
DA:A1:19:59:76:3E, 2019-12-18 10:30:58, 2019-12-18 10:30:58, -63,        1, (not associated) ,
DA:A1:19:DF:2E:E8, 2019-12-18 10:30:58, 2019-12-18 10:30:58, -68,        1, (not associated) ,
