
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:3C:10:7B:15:0D, 2019-12-18 10:46:53, 2019-12-18 10:49:58,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
0A:C5:E1:56:5F:94, 2019-12-18 10:48:13, 2019-12-18 10:49:09,  6,  54, WPA2, CCMP, PSK, -87,        0,        0,   0.  0.  0.  0,  11, SamsungAlex, 
C0:EE:FB:DD:F3:C1, 2019-12-18 10:48:23, 2019-12-18 10:48:57,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:C6:5B:C0, 2019-12-18 10:45:22, 2019-12-18 10:48:22,  6,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
3E:DC:BC:E9:F8:F5, 2019-12-18 10:46:22, 2019-12-18 10:48:20, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:87:01:C6:F4:8C, 2019-12-18 10:47:29, 2019-12-18 10:47:47, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C9:65:8E:42:95:20, 2019-12-18 10:46:30, 2019-12-18 10:46:30, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:3C:10:79:BA:C2, 2019-12-18 10:45:30, 2019-12-18 10:45:30, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EA:41:05:00:D0:45, 2019-12-18 10:45:16, 2019-12-18 10:45:16, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:C6:5B:CD, 2019-12-18 10:46:03, 2019-12-18 10:47:05,  6,  -1, WPA, ,   ,  -1,        0,       10,   0.  0.  0.  0,   0, , 
B4:CD:27:F5:EC:3F, 2019-12-18 10:47:17, 2019-12-18 10:47:17,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
62:F1:89:9D:18:3B, 2019-12-18 10:47:36, 2019-12-18 10:47:36, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:AE:FA:CF:09:3F, 2019-12-18 10:46:10, 2019-12-18 10:48:03,  6,  54, WPA2, CCMP, PSK, -83,        2,        1,   0.  0.  0.  0,  13, Slinth's Wifi, 
32:07:4D:95:53:D4, 2019-12-18 10:45:02, 2019-12-18 10:48:15,  6,  54, WPA2, CCMP, PSK, -81,      677,       16,   0.  0.  0.  0,  30, dis "mamene" jte passe le code, 
FF:FF:00:2C:C8:8B, 2019-12-18 10:48:51, 2019-12-18 10:48:51,  6,  -1, OPN, ,   , -83,        0,        1,   0.  0.  0.  0,   0, , 
00:2C:C8:8B:E2:E4, 2019-12-18 10:45:04, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -81,       57,        0,   0.  0.  0.  0,  10, Conference, 
38:47:BC:8D:F8:64, 2019-12-18 10:46:59, 2019-12-18 10:49:57,  6,  54, WPA2, CCMP, PSK, -87,        0,        1,   0.  0.  0.  0,  15, HUAWEI P30 lite, 
00:2C:C8:8B:E2:E2, 2019-12-18 10:46:21, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, MGT, -81,       69,     1156,   0.  0.  0.  0,   7, eduroam, 
00:2C:C8:8B:E2:E0, 2019-12-18 10:46:39, 2019-12-18 10:50:01,  6,  54, OPN, ,   , -83,       71,      204,  10. 42. 17.164,   7, eduspot, 
B6:80:C2:7B:F0:18, 2019-12-18 10:45:03, 2019-12-18 10:50:00,  6,  54, WPA2, CCMP, PSK, -86,        0,        0,   0.  0.  0.  0,  15, iPhone de Steve, 
00:2C:C8:8B:E2:E3, 2019-12-18 10:46:39, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, MGT, -82,       59,        0,   0.  0.  0.  0,   4, toip, 
00:2C:C8:8B:E2:E1, 2019-12-18 10:46:47, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, MGT, -78,       57,        0,   0.  0.  0.  0,   9, personnel, 
6A:36:E5:2E:FA:B6, 2019-12-18 10:46:14, 2019-12-18 10:49:57,  6,  54, WPA2, CCMP, PSK, -86,       34,        0,   0.  0.  0.  0,  16, Iphone de Mounir, 
5A:8F:24:79:C4:A9, 2019-12-18 10:45:03, 2019-12-18 10:49:57,  6,  54, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,  17, iPhone de Sabrina, 
FC:3F:7C:F1:62:50, 2019-12-18 10:47:54, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -80,      207,        1,   0.  0.  0.  0,  20, HUAWEI_honor 5C_3DDF, 
AA:34:6A:E9:9C:68, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -76,      917,      324,   0.  0.  0.  0,   7, Lurtz59, 
1E:16:82:5C:D9:EA, 2019-12-18 10:47:10, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -71,      382,     3910,   0.  0.  0.  0,   6, iPhone, 
8E:42:95:20:32:2E, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -69,      576,      278,   0.  0.  0.  0,  18, , 
66:77:65:4D:05:CB, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -67,      618,      275,   0.  0.  0.  0,  12, , 
02:1A:11:F2:63:49, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -69,     2463,     1132,   0.  0.  0.  0,   2, KR, 
6E:C7:EC:18:33:53, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -66,     2498,    14768,   0.  0.  0.  0,  13, AndroidAP7080, 
04:B1:67:AD:FA:02, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -67,     2700,     5029,   0.  0.  0.  0,   5, Samad, 
70:DD:A8:01:41:21, 2019-12-18 10:45:02, 2019-12-18 10:50:00,  8, 360, WPA2, CCMP, PSK, -55,     1009,      159,   0.  0.  0.  0,   5, Maleo, 
F8:C3:9E:41:2A:D2, 2019-12-18 10:45:02, 2019-12-18 10:50:01,  6,  54, WPA2, CCMP, PSK, -40,     2922,      925,   0.  0.  0.  0,  14, HUAWEI P20 Pro, 
00:3C:10:7B:15:00, 2019-12-18 10:46:44, 2019-12-18 10:49:44,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
00:00:FF:FF:FF:FF, 2019-12-18 10:49:43, 2019-12-18 10:49:43,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
C0:F4:E6:E9:3A:54, 2019-12-18 10:49:53, 2019-12-18 10:49:53, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
82:FC:77:C0:58:90, 2019-12-18 10:48:55, 2019-12-18 10:48:55, -60,        4, (not associated) ,Bougharraf
22:BC:C1:E9:F6:4D, 2019-12-18 10:48:55, 2019-12-18 10:48:55, -62,        6, (not associated) ,Bougharraf
DA:A1:19:27:8B:FB, 2019-12-18 10:45:44, 2019-12-18 10:48:53, -72,       11, (not associated) ,
9A:23:E0:24:97:44, 2019-12-18 10:48:54, 2019-12-18 10:48:54, -75,        1, (not associated) ,
EA:2B:88:D0:DB:4A, 2019-12-18 10:48:51, 2019-12-18 10:48:52, -75,        6, (not associated) ,
80:00:0B:DF:FE:12, 2019-12-18 10:46:44, 2019-12-18 10:48:52, -85,        5, (not associated) ,eduroam
9A:AA:5A:A9:97:87, 2019-12-18 10:48:40, 2019-12-18 10:48:41, -63,        8, (not associated) ,
E6:CD:5C:6D:2D:28, 2019-12-18 10:48:43, 2019-12-18 10:48:43, -71,        2, (not associated) ,
28:C2:DD:85:E4:B5, 2019-12-18 10:46:12, 2019-12-18 10:48:43, -79,        4, (not associated) ,ASUS_X00RD
3E:C2:76:3F:5F:7C, 2019-12-18 10:48:29, 2019-12-18 10:48:29, -65,        4, (not associated) ,Bougharraf
6E:10:B1:53:33:4F, 2019-12-18 10:48:30, 2019-12-18 10:48:30, -67,       10, (not associated) ,Bougharraf
6C:C7:EC:18:33:53, 2019-12-18 10:45:41, 2019-12-18 10:48:31, -70,       28, (not associated) ,AndroidAP
AE:B5:24:AF:1A:39, 2019-12-18 10:48:28, 2019-12-18 10:48:29, -73,        5, (not associated) ,
F0:03:8C:86:AF:47, 2019-12-18 10:47:51, 2019-12-18 10:48:28, -82,        3, (not associated) ,eduroam
86:BE:CA:56:1C:AB, 2019-12-18 10:48:18, 2019-12-18 10:48:19, -68,        6, (not associated) ,
CA:22:7F:C3:BC:2B, 2019-12-18 10:48:17, 2019-12-18 10:48:17, -69,        7, (not associated) ,
0A:F7:5A:61:47:E5, 2019-12-18 10:48:16, 2019-12-18 10:48:16, -73,        3, (not associated) ,
E6:28:85:91:74:0B, 2019-12-18 10:48:17, 2019-12-18 10:48:17, -77,        1, (not associated) ,
E6:17:28:5E:0F:29, 2019-12-18 10:48:16, 2019-12-18 10:48:16, -90,        1, (not associated) ,
1A:6B:13:50:57:6F, 2019-12-18 10:48:05, 2019-12-18 10:48:05, -61,        4, (not associated) ,Bougharraf
66:CF:04:F9:3D:BA, 2019-12-18 10:48:02, 2019-12-18 10:48:02, -68,        5, (not associated) ,
D6:76:6F:60:08:57, 2019-12-18 10:48:06, 2019-12-18 10:48:06, -69,        3, (not associated) ,Bougharraf
D0:57:7B:81:4B:8D, 2019-12-18 10:46:38, 2019-12-18 10:48:02, -82,        5, (not associated) ,Yost
DA:D9:80:84:1C:1C, 2019-12-18 10:47:50, 2019-12-18 10:47:51, -60,        5, (not associated) ,
F2:F7:F7:9C:83:C9, 2019-12-18 10:47:54, 2019-12-18 10:47:54, -66,        4, (not associated) ,
96:E9:79:C9:EF:97, 2019-12-18 10:47:49, 2019-12-18 10:47:53, -71,       16, (not associated) ,DIRECT-
B8:27:EB:B6:7C:95, 2019-12-18 10:47:54, 2019-12-18 10:47:54, -74,        6, (not associated) ,
92:D6:6D:76:07:11, 2019-12-18 10:47:43, 2019-12-18 10:47:43, -55,        9, (not associated) ,
52:62:8A:E6:4E:41, 2019-12-18 10:47:39, 2019-12-18 10:47:39, -56,        9, (not associated) ,Bougharraf
62:32:C0:9D:D2:F6, 2019-12-18 10:47:39, 2019-12-18 10:47:39, -61,        4, (not associated) ,Bougharraf
48:A4:72:88:38:B7, 2019-12-18 10:47:42, 2019-12-18 10:47:42, -63,        1, (not associated) ,iPhone de Claire
BE:CD:55:6D:74:E7, 2019-12-18 10:47:39, 2019-12-18 10:47:39, -70,        1, (not associated) ,
BE:49:DE:6F:78:5C, 2019-12-18 10:47:39, 2019-12-18 10:47:39, -71,        1, (not associated) ,
12:35:DB:32:11:5F, 2019-12-18 10:46:55, 2019-12-18 10:47:40, -78,        2, (not associated) ,
DA:A1:19:A2:9D:C3, 2019-12-18 10:47:40, 2019-12-18 10:47:40, -84,        1, (not associated) ,
4A:66:1A:CB:83:79, 2019-12-18 10:47:29, 2019-12-18 10:47:29, -65,        3, (not associated) ,Bougharraf
6A:D1:D9:F5:8A:84, 2019-12-18 10:47:31, 2019-12-18 10:47:31, -67,        3, (not associated) ,Bougharraf
82:16:FE:C5:C8:B7, 2019-12-18 10:47:28, 2019-12-18 10:47:28, -71,        5, (not associated) ,
16:88:12:DD:17:01, 2019-12-18 10:47:29, 2019-12-18 10:47:29, -76,        6, (not associated) ,Bougharraf
22:AA:37:4B:E7:74, 2019-12-18 10:47:14, 2019-12-18 10:47:15, -66,        7, (not associated) ,
56:AA:97:2B:38:CF, 2019-12-18 10:47:16, 2019-12-18 10:47:16, -71,        3, (not associated) ,Bougharraf
BC:76:5E:67:0F:F5, 2019-12-18 10:47:19, 2019-12-18 10:47:19, -73,        1, (not associated) ,
AA:A0:FA:4A:CF:43, 2019-12-18 10:47:18, 2019-12-18 10:47:18, -75,        2, (not associated) ,
7E:C5:B6:98:D8:48, 2019-12-18 10:47:16, 2019-12-18 10:47:16, -78,        3, (not associated) ,Bougharraf
A4:D9:31:D7:50:83, 2019-12-18 10:47:17, 2019-12-18 10:47:17, -79,       14, B4:CD:27:F5:EC:3F,
36:4F:26:75:6F:C7, 2019-12-18 10:47:07, 2019-12-18 10:47:07, -67,        5, (not associated) ,
B0:CA:68:83:E7:44, 2019-12-18 10:47:03, 2019-12-18 10:47:03, -69,        2, (not associated) ,Pixel_1135
02:3F:1F:7A:3B:DE, 2019-12-18 10:47:03, 2019-12-18 10:47:03, -71,        4, (not associated) ,Bougharraf
62:EC:5D:D7:B2:F2, 2019-12-18 10:47:04, 2019-12-18 10:47:04, -76,        3, (not associated) ,
86:F5:A0:FC:78:C9, 2019-12-18 10:47:03, 2019-12-18 10:47:03, -76,        9, (not associated) ,Bougharraf
56:B3:77:49:E8:DA, 2019-12-18 10:47:03, 2019-12-18 10:47:03, -76,        2, (not associated) ,
72:FE:B6:8C:34:A8, 2019-12-18 10:46:50, 2019-12-18 10:46:50, -65,        5, (not associated) ,Bougharraf
36:FF:07:00:F5:05, 2019-12-18 10:46:52, 2019-12-18 10:46:52, -67,        4, (not associated) ,
38:B1:DB:F2:57:57, 2019-12-18 10:46:54, 2019-12-18 10:46:54, -83,        1, (not associated) ,Antoine-wifi
EA:52:57:87:3D:5D, 2019-12-18 10:46:50, 2019-12-18 10:46:50, -87,        1, (not associated) ,
3A:8B:9B:52:A1:5A, 2019-12-18 10:46:40, 2019-12-18 10:46:41, -58,        8, (not associated) ,
D0:AB:D5:92:C6:56, 2019-12-18 10:45:37, 2019-12-18 10:46:43, -72,        2, (not associated) ,eduroam
5E:FC:CB:0D:B8:BA, 2019-12-18 10:46:43, 2019-12-18 10:46:43, -77,        1, (not associated) ,
