
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2A:D2:F8:C3:9E:41, 2019-12-18 10:04:01, 2019-12-18 10:04:01,  6,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
FC:5B:39:C6:5B:C0, 2019-12-18 10:00:22, 2019-12-18 10:03:21,  6,  -1, OPN, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
98:09:CF:74:71:49, 2019-12-18 10:00:36, 2019-12-18 10:03:20,  6,  -1, OPN, ,   , -86,        0,       50,   0.  0.  0.  0,  13, OnePlus 7 Pro, 
00:AE:FA:CF:09:3F, 2019-12-18 10:01:49, 2019-12-18 10:01:49,  6,  54, WPA2, CCMP, PSK, -79,        0,        0,   0.  0.  0.  0,  13, Slinth's Wifi, 
A7:53:05:00:40:18, 2019-12-18 10:01:35, 2019-12-18 10:01:35, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:16:AA:34:6A:E9, 2019-12-18 10:01:23, 2019-12-18 10:01:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:03:AA:34:6A:E9, 2019-12-18 10:01:23, 2019-12-18 10:01:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C0:2C:58:00:E3:F1, 2019-12-18 10:00:12, 2019-12-18 10:00:12, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B4:CD:27:F5:EC:3F, 2019-12-18 10:00:27, 2019-12-18 10:00:31,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:3C:10:79:BC:00, 2019-12-18 10:00:40, 2019-12-18 10:00:40, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:5B:39:C7:0E:72, 2019-12-18 10:01:28, 2019-12-18 10:01:28,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EA:67:5C:61:74:2B, 2019-12-18 10:02:27, 2019-12-18 10:02:27, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:00:00:00:00:00, 2019-12-18 10:02:30, 2019-12-18 10:03:16,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
38:47:BC:8D:F8:64, 2019-12-18 10:00:08, 2019-12-18 10:05:02,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:3C:10:7B:15:0D, 2019-12-18 10:02:46, 2019-12-18 10:03:52,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:2C:C8:8B:E2:E0, 2019-12-18 10:01:40, 2019-12-18 10:05:01,  6,  54, OPN, ,   , -85,       21,        1,   0.  0.  0.  0,   7, eduspot, 
00:2C:C8:8B:E2:E2, 2019-12-18 10:00:07, 2019-12-18 10:05:02,  6,  54, WPA2 OPN, CCMP, MGT, -84,       16,      749,   0.  0.  0.  0,   7, eduroam, 
00:2C:C8:8B:E2:E1, 2019-12-18 10:00:10, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, MGT, -83,       14,        0,   0.  0.  0.  0,   9, personnel, 
00:2C:C8:8B:E2:E3, 2019-12-18 10:00:10, 2019-12-18 10:04:50,  6,  54, WPA2, CCMP, MGT, -84,       15,        0,   0.  0.  0.  0,   4, toip, 
00:2C:C8:8B:E2:E4, 2019-12-18 10:00:07, 2019-12-18 10:04:50,  6,  54, WPA2, CCMP, PSK, -83,       15,        0,   0.  0.  0.  0,  10, Conference, 
6A:36:E5:2E:FA:B6, 2019-12-18 10:00:04, 2019-12-18 10:04:45,  6,  54, WPA2, CCMP, PSK, -83,       16,        0,   0.  0.  0.  0,  16, Iphone de Mounir, 
FC:3F:7C:F1:62:50, 2019-12-18 10:00:04, 2019-12-18 10:05:01,  6,  54, WPA2, CCMP, PSK, -82,      176,       10,   0.  0.  0.  0,  20, HUAWEI_honor 5C_3DDF, 
14:1F:78:8E:3E:1C, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -82,      501,     2073,   0.  0.  0.  0,  14, PourToiJohnson, 
AA:34:6A:E9:9C:68, 2019-12-18 10:00:05, 2019-12-18 10:05:01,  6,  54, WPA2, CCMP, PSK, -79,      535,       54,   0.  0.  0.  0,   7, Lurtz59, 
32:07:4D:95:53:D4, 2019-12-18 10:00:05, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -76,      999,       16,   0.  0.  0.  0,  30, dis "mamene" jte passe le code, 
66:77:65:4D:05:CB, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -75,      422,       73,   0.  0.  0.  0,  12, , 
70:8A:09:75:66:0A, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -74,      880,      215,   0.  0.  0.  0,  13, HUAWEI Mate 9, 
0E:2B:51:CE:C0:2C, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -74,      638,     3533,   0.  0.  0.  0,   6, iPhone, 
6E:C7:EC:18:33:53, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -71,     1792,      269,   0.  0.  0.  0,  13, AndroidAP7080, 
8E:42:95:20:32:2E, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -68,      748,     1519,   0.  0.  0.  0,  18, , 
D6:8C:CD:A8:A7:53, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -64,      781,       28,   0.  0.  0.  0,  26, iPhone de Morgane Lheureux, 
70:DD:A8:01:41:21, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  8, 360, WPA2, CCMP, PSK, -57,     1128,      201,   0.  0.  0.  0,   5, Maleo, 
04:B1:67:AD:FA:02, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -61,     2790,     7195,   0.  0.  0.  0,   5, Samad, 
F8:C3:9E:41:2A:D2, 2019-12-18 10:00:04, 2019-12-18 10:05:02,  6,  54, WPA2, CCMP, PSK, -46,     2899,       42,   0.  0.  0.  0,  14, HUAWEI P20 Pro, 
00:25:00:FF:94:73, 2019-12-18 10:00:15, 2019-12-18 10:04:54,  6,  -1, OPN, ,   ,  -1,        0,       33,   0.  0.  0.  0,   0, , 
FC:5B:39:C6:5B:C2, 2019-12-18 10:00:04, 2019-12-18 10:04:53,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B6:80:C2:7B:F0:18, 2019-12-18 10:00:05, 2019-12-18 10:05:02,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:3C:10:7B:15:00, 2019-12-18 10:04:44, 2019-12-18 10:04:44,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
A0:3D:6F:3D:AB:A2, 2019-12-18 10:04:47, 2019-12-18 10:04:47, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7B:99:05:00:A0:39, 2019-12-18 10:04:50, 2019-12-18 10:04:50, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
72:C6:E3:ED:21:4C, 2019-12-18 10:03:55, 2019-12-18 10:03:55, -53,        4, (not associated) ,Bougharraf
9E:BC:BC:9A:61:CB, 2019-12-18 10:03:54, 2019-12-18 10:03:54, -56,        7, (not associated) ,
0A:1A:28:40:33:56, 2019-12-18 10:03:15, 2019-12-18 10:03:56, -58,       10, (not associated) ,
EE:19:38:26:BB:D7, 2019-12-18 10:03:56, 2019-12-18 10:03:56, -64,        6, (not associated) ,Bougharraf
8C:85:90:80:35:CA, 2019-12-18 10:01:17, 2019-12-18 10:03:53, -68,       58, 0E:2B:51:CE:C0:2C,iPhone,eduroam,Bbox-A04917A5
38:F9:D3:29:8C:09, 2019-12-18 10:02:46, 2019-12-18 10:03:52, -73,        5, 00:3C:10:7B:15:0D,
CA:C0:65:A5:C3:4A, 2019-12-18 10:03:57, 2019-12-18 10:03:57, -83,        1, (not associated) ,AndroidApTen
2E:F4:85:BC:FA:EA, 2019-12-18 10:03:54, 2019-12-18 10:03:54, -84,        1, (not associated) ,
52:30:3B:65:A5:B9, 2019-12-18 10:03:43, 2019-12-18 10:03:43, -55,        3, (not associated) ,
5E:2D:8F:87:CF:43, 2019-12-18 10:02:17, 2019-12-18 10:03:42, -62,      576, 00:25:00:FF:94:73,
6A:D0:DE:2F:07:92, 2019-12-18 10:03:44, 2019-12-18 10:03:45, -63,        7, (not associated) ,
26:FD:52:28:6B:CE, 2019-12-18 10:03:41, 2019-12-18 10:03:44, -67,        4, (not associated) ,
32:E6:06:1A:1D:EF, 2019-12-18 10:03:40, 2019-12-18 10:03:40, -71,        2, (not associated) ,
CA:62:3F:D6:C1:05, 2019-12-18 10:03:45, 2019-12-18 10:03:45, -77,        1, (not associated) ,
66:FE:04:F1:42:91, 2019-12-18 10:03:42, 2019-12-18 10:03:42, -77,        1, (not associated) ,
C6:B1:B6:B7:BC:08, 2019-12-18 10:03:33, 2019-12-18 10:03:33, -53,        4, (not associated) ,Bougharraf
82:1C:24:82:45:6E, 2019-12-18 10:03:30, 2019-12-18 10:03:30, -55,        6, (not associated) ,
7A:80:C5:8E:A8:0A, 2019-12-18 10:02:27, 2019-12-18 10:03:33, -60,      414, 00:25:00:FF:94:73,
5E:CD:0A:27:8F:0A, 2019-12-18 10:03:28, 2019-12-18 10:03:28, -66,       12, (not associated) ,Bougharraf
3E:9D:7F:87:DA:E5, 2019-12-18 10:01:58, 2019-12-18 10:03:28, -79,        2, (not associated) ,
B2:B4:FA:02:C4:83, 2019-12-18 10:03:32, 2019-12-18 10:03:32, -83,        1, (not associated) ,
74:C6:3B:A8:22:19, 2019-12-18 10:03:31, 2019-12-18 10:03:31, -85,        1, (not associated) ,
02:1D:5B:CB:27:EA, 2019-12-18 10:03:16, 2019-12-18 10:03:17, -57,        9, (not associated) ,
6E:80:BB:01:AA:A8, 2019-12-18 10:03:18, 2019-12-18 10:03:19, -59,        6, (not associated) ,
34:F6:4B:C5:F1:4D, 2019-12-18 10:00:45, 2019-12-18 10:03:16, -67,       10, (not associated) ,eduroam
5A:FE:2A:55:BE:B0, 2019-12-18 10:03:18, 2019-12-18 10:03:18, -69,        1, (not associated) ,
CC:08:8D:2B:65:21, 2019-12-18 10:02:30, 2019-12-18 10:03:16, -76,       11, 00:00:00:00:00:00,
22:0E:4B:B9:77:2A, 2019-12-18 10:03:17, 2019-12-18 10:03:17, -81,        1, (not associated) ,
D0:C5:D3:6D:92:37, 2019-12-18 10:00:08, 2019-12-18 10:05:02, -88,        6, 38:47:BC:8D:F8:64,
3A:A5:F1:CD:0C:3A, 2019-12-18 10:02:50, 2019-12-18 10:03:08, -50,       60, 00:25:00:FF:94:73,
56:7F:BF:B2:AE:38, 2019-12-18 10:03:08, 2019-12-18 10:03:08, -57,        4, (not associated) ,Bougharraf
9E:1E:4E:E8:4F:DB, 2019-12-18 10:03:07, 2019-12-18 10:03:07, -57,        5, (not associated) ,
D2:81:B2:74:7B:5D, 2019-12-18 10:03:09, 2019-12-18 10:03:09, -64,        8, (not associated) ,Bougharraf
D2:BD:82:CB:DC:D7, 2019-12-18 10:03:03, 2019-12-18 10:03:04, -65,       12, (not associated) ,Bougharraf
32:6C:77:9D:45:5C, 2019-12-18 10:01:20, 2019-12-18 10:03:04, -69,       36, 00:25:00:FF:94:73,
AA:11:DC:CF:CE:16, 2019-12-18 10:03:04, 2019-12-18 10:03:04, -79,        1, (not associated) ,
AA:AB:DB:AC:42:56, 2019-12-18 10:02:56, 2019-12-18 10:02:56, -66,        6, (not associated) ,
96:EE:BC:FA:6B:49, 2019-12-18 10:02:52, 2019-12-18 10:02:52, -73,        7, (not associated) ,
DE:6A:A7:09:4E:61, 2019-12-18 10:02:53, 2019-12-18 10:02:53, -76,        2, (not associated) ,
A2:EA:A7:2B:A5:90, 2019-12-18 10:02:52, 2019-12-18 10:02:52, -76,        1, (not associated) ,
B8:27:EB:B6:7C:95, 2019-12-18 10:02:54, 2019-12-18 10:02:54, -79,        1, (not associated) ,
62:A1:AC:40:40:93, 2019-12-18 10:02:45, 2019-12-18 10:02:45, -57,        4, (not associated) ,Bougharraf
02:A6:45:6C:A9:C0, 2019-12-18 10:02:43, 2019-12-18 10:02:44, -62,        7, (not associated) ,
DE:E0:33:49:1B:A4, 2019-12-18 10:02:45, 2019-12-18 10:02:45, -65,        9, (not associated) ,Bougharraf
A6:FA:F5:C9:95:E3, 2019-12-18 10:02:40, 2019-12-18 10:02:40, -65,        7, (not associated) ,Bougharraf
96:EB:72:B4:71:0C, 2019-12-18 10:02:45, 2019-12-18 10:02:45, -73,        1, (not associated) ,
E2:A3:63:F2:A8:4E, 2019-12-18 10:00:07, 2019-12-18 10:02:44, -74,        4, (not associated) ,
4A:AA:5C:0A:BB:D7, 2019-12-18 10:02:28, 2019-12-18 10:02:28, -55,        4, (not associated) ,Bougharraf
4A:62:46:4D:49:20, 2019-12-18 10:02:28, 2019-12-18 10:02:29, -57,        9, (not associated) ,Bougharraf
1A:32:C6:DD:7D:F6, 2019-12-18 10:02:33, 2019-12-18 10:02:33, -59,        4, (not associated) ,Bougharraf
C2:72:C2:B4:0C:6B, 2019-12-18 10:01:08, 2019-12-18 10:02:28, -63,       11, 00:25:00:FF:94:73,
12:AC:7D:C1:A5:6E, 2019-12-18 10:02:32, 2019-12-18 10:02:32, -64,        1, (not associated) ,
EA:96:E0:23:D8:30, 2019-12-18 10:02:31, 2019-12-18 10:02:31, -67,        3, (not associated) ,
A2:00:3A:B6:98:8E, 2019-12-18 10:02:28, 2019-12-18 10:02:28, -70,        2, (not associated) ,
1E:36:DB:D4:95:24, 2019-12-18 10:02:32, 2019-12-18 10:02:33, -72,        7, (not associated) ,
06:8F:E0:BA:46:D3, 2019-12-18 10:02:33, 2019-12-18 10:02:33, -73,        1, (not associated) ,
C4:98:80:BD:5C:90, 2019-12-18 10:02:28, 2019-12-18 10:02:28, -87,        1, (not associated) ,
E2:9E:51:90:6C:5D, 2019-12-18 10:02:18, 2019-12-18 10:02:18, -56,        4, (not associated) ,Bougharraf
02:D3:95:A9:25:E4, 2019-12-18 10:02:21, 2019-12-18 10:02:21, -61,        7, (not associated) ,
DE:63:D0:75:1B:B1, 2019-12-18 10:02:17, 2019-12-18 10:02:17, -63,        8, (not associated) ,
86:34:CE:5D:E5:29, 2019-12-18 10:02:19, 2019-12-18 10:02:19, -65,       12, (not associated) ,Bougharraf
